"start_time";"end_time";"MIDI_pitch"
0.0;0.9;76
0.9;1.6;68
1.6;1.9;68
1.9;2.6;69
2.6;3.1;71
3.1;3.4;73
3.4;4.2;71
4.2;4.8;71
