"Start";"End";"Label"
0;1.852358;"C"
1.852358;3.454535;"G"
3.454535;5.126371;"Am"
5.126371;6.774988;"F"
6.774988;8.423605;"C"
8.423605;10.014172;"G"
10.014172;11.651179;"F"
11.651179;12.856;"C"
