"start_time";"end_time";"start_frequency";"end_frequency"
1.40;2.57;150;300
2.57;4.30;200;400
4.30;5.00;150;300
5.00;6.20;110;220
7.20;7.80;210;420
7.80;8.60;170;340
8.60;8.90;120;240

