"start";"end";"label"
0.25;23.07;"I"
23.07;28.13;""
28.13;43.10;"V1"
43.10;59;"V2"
59;74.54;"V3"
74.54;89.14;"V4"
89.14;97.84;""
97.84;113.28;"V5"
113.28;127.78;"V6"
127.78;132.57;""
132.57;147.06;"V7"
147.06;174.18;"B"
174.18;189;"V8"
189;195;""
